License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Expiration Date,Date Updated
402-01304,PI WILLITS LLC,LOVA BASALT,Medical Marijuana Store,701 East Valley Road Unit 102,Basalt,81621,12/27/2026,8/3/2026
402-00260,PIONEER INTERESTS SHERIDAN LLC,LOVA EDGEWATER,Medical Marijuana Store,"2045 Sheridan Boulevard, Unit B",Edgewater,80214,1/6/2027,8/3/2026
402-00655,PLANET SPACE LLC,GANJA GOURMET,Medical Marijuana Store,1810 South Broadway,Denver,80210,2/7/2027,8/3/2026
402-00352,PND LLC,A CUT ABOVE,Medical Marijuana Store,1150 East Fillmore Street,Colorado Springs,80907,8/21/2026,8/3/2026
402-00059,PRVT LBL LLC,PRVT LBL,Medical Marijuana Store,2490 West 2nd Avenue,Denver,80223,12/13/2026,8/3/2026
402-00597,PURE MEDICAL LLC,PURE,Medical Marijuana Store,1905 North Academy Boulevard,Colorado Springs,80904,11/13/2026,8/3/2026
402-00347,PURE MEDICAL LLC,PURE,Medical Marijuana Store,"207 West Rockrimmon Boulevard, Unit C",Colorado Springs,80919,9/12/2027,8/3/2026
402-00346,PURE MEDICAL LLC,PURE,Medical Marijuana Store,8025 North Academy Boulevard,Colorado Springs,80920,9/12/2027,8/3/2026
402-00403,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,Medical Marijuana Store,10555 East 45th Avenue,Denver,80239,6/17/2027,8/3/2026
402-01084,RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,Medical Marijuana Store,1003 North Academy Boulevard,Colorado Springs,80909,7/3/2027,8/3/2026
402-01083,RJJ UINTAH LLC,NATIVE ROOTS UINTAH,Medical Marijuana Store,1705 West Uintah Street,Colorado Springs,80904,7/3/2027,8/3/2026
402-00281,RME GROUP LLC,AFFINITY,Medical Marijuana Store,7739 East Colfax Avenue,Denver,80220,8/29/2026,8/3/2026
402-01211,ROCKY FARMS LLC,ROCKY FARMS,Medical Marijuana Store,1709 Swink Avenue,Rocky Ford,81067,10/25/2026,8/3/2026
402-01726,ROCKY FORD STATION LLC,THE STATION,Medical Marijuana Store,1701 Elm Avenue,Rocky Ford,81067,6/10/2027,8/3/2026
402-00667,ROCKY MOUNTAIN MEDICAL LLC,,Medical Marijuana Store,616 Arrawanna Street,Colorado Springs,80909,9/14/2026,8/3/2026
402-00566,SHERIDAN BOULEVARD RETAIL LLC,,Medical Marijuana Store,734 North Sheridan Boulevard,Denver,80214,1/19/2027,8/3/2026
402-00798,SILVERPEAK CORP,SILVERPEAK,Medical Marijuana Store,"520 East Cooper Avenue, Units LL2 & LL3,",Aspen,81611,4/5/2027,8/3/2026
402-00406,SISTEM COS1 LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,5156 Centennial Boulevard,Colorado Springs,80918,8/15/2027,8/3/2026
402-00058,SISTEM COS2 LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,"410 South 8th Street, Unit B",Colorado Springs,80905,5/2/2027,8/3/2026
402-01089,SL CHEROKEE LLC,SNAXLAND,Medical Marijuana Store,1155 South Cherokee Street,Denver,80223,6/13/2027,8/3/2026
402-00864,SL JET WING LLC,SNAXLAND,Medical Marijuana Store,1675 Jet Wing Drive,Colorado Springs,80916,9/9/2026,8/3/2026
402-01077,SL SHERIDAN LLC,"LEVELS IV, INC.",Medical Marijuana Store,5201 West 48th Avenue,Denver,80212,6/13/2027,8/3/2026
402-00842,SOLACE MEDS LLC,,Medical Marijuana Store,"301 Smokey Street, Unit A",Fort Collins,80525,7/3/2027,8/3/2026
402-00958,SOLACE MEDS MASON LLC,,Medical Marijuana Store,3516 South Mason Street,Fort Collins,80525,10/27/2026,8/3/2026
402-00386,SOLACE MEDS OF WHEAT RIDGE LLC,,Medical Marijuana Store,4845 Van Gordon Street,Wheat Ridge,80033,12/14/2026,8/3/2026
402-00664,SOUTHWEST ALTERNATIVE CARE LLC,KAYA,Medical Marijuana Store,3900 West Colfax Avenue,Denver,80204,5/6/2027,8/3/2026
402-00090,SPARK CO LLC,SPARK CO,Medical Marijuana Store,5024 North Academy Boulevard,Colorado Springs,80918,7/6/2027,8/3/2026
