license_number,legal_name,trade_name,store_type,address,city,region,postal_code,country,latitude,longitude,official_website,regulator_url,license_status,operational_status,coordinates_source,coordinates_confidence,location_evidence
DA-23-00083,Four Green fields,Four Green Fields,OTHER_REGULATED_POINT,3518 Conowingo Road Street Maryland 21154,,Harford,,US,39.6351,-76.2701,https://www.fourgreenfieldsllc.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00084,"Advanced Alternative Therapies, Inc",Goldleaf,OTHER_REGULATED_POINT,2029 West Street Annapolis Maryland 21401,,Anne Arundel,,US,38.9827,-76.5345,https://goldleafmd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00085,"Blue ridge Wellness, LLC",The Apothecarium Dispensary - Nottingham,OTHER_REGULATED_POINT,8241 Perry Hall Blvd. Nottingham Maryland 21236,,Baltimore,,US,39.3777,-76.4714,https://blueridgewellnessmd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00086,"GTI Maryland, LLC",RISE - Hagerstown,OTHER_REGULATED_POINT,1571 Wesel Blvd Hagerstown Maryland 21740,,Washington,,US,39.6341,-77.7564,https://risecannabis.com/dispensaries/maryland/hagerstown/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00087,"Columbia Care MD, LLC",Columbia Care,OTHER_REGULATED_POINT,4609 Willow Ln Chevy Chase Maryland 20815,,Montgomery,,US,38.9823,-77.0876,https://cannabistcompany.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00088,"Mission Maryland, LLC",Summit Wellness Cannabis Dispensary,OTHER_REGULATED_POINT,6328 Baltimore National Pike Catonsville Maryland 21228,,Baltimore,,US,39.2845,-76.7555,https://catonsville.ethoscannabis.com/stores/mission-catonsville,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00089,"Charm city Relief Partners, LLC",Nirvana - Rosedale,OTHER_REGULATED_POINT,8803 Pulaski Hwy Rosedale Maryland 21237,,Baltimore,,US,39.3382,-76.4803,https://www.nirvanacenter.com/maryland/rosedale,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00090,"Mybond, LLC",The Dispensary,OTHER_REGULATED_POINT,330 140 Village Rd Westminster Maryland 21157,,Carroll,,US,39.564,-76.9799,https://www.thedispensarymd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00092,"Sugarloaf enterprises, LLC",gLeaf - Rockville,OTHER_REGULATED_POINT,808 Hungerford Dr Rockville Maryland 20850,,Montgomery,,US,39.0944,-77.1532,https://gleaf.com/rockville-maryland/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00093,"MaryMed, LLC",Green Goods - Frederick,OTHER_REGULATED_POINT,1080 West Patrick Street Frederick Maryland 21703,,Frederick,,US,39.4162,-77.4455,https://visitgreengoods.com/locations/frederick-md/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00094,"Culta Dispensary Group, LLC",Kannavis,OTHER_REGULATED_POINT,8709 Fingerboard Road Frederick Maryland 21704,,Frederick,,US,39.3247,-77.3545,https://www.culta.io/location/frederick,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00095,"Greenlabs, Inc",GreenLabs,OTHER_REGULATED_POINT,1522 Eastern Ave Baltimore Maryland 21231,,Baltimore City,,US,39.2856,-76.596,https://greenlabsmd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00096,"CannaPharmacy Maryland, LLC",Story Cannabis - Hyattsville,OTHER_REGULATED_POINT,2486 Chillum Road Hyattsville Maryland 20782,,Prince George's,,US,38.9519,-76.9678,https://storycannabis.com/dispensary-locations/maryland/hyattsville-md/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00097,"Allegany Medical Marijuana Dispensary, LLC",The Apothecarium Dispensary - Cumberland,OTHER_REGULATED_POINT,100 Beall Street Cumberland Maryland 21502,,Allegany,,US,39.6476,-78.769,https://apothecarium.com/dispensaries/cumberland-dispensary/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00098,"Euphoria Wellness Maryland, LLC",Verilife - New Market,OTHER_REGULATED_POINT,11717 Old National Pike Unit 16 New Market Maryland 21774,,Frederick,,US,39.3837,-77.2581,https://www.verilife.com/md/locations/new-market,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00099,"G&J Pharmaceuticals, LLC",Greenwave Maryland,OTHER_REGULATED_POINT,70 Holiday Drive Solomons Maryland 20688,,Calvert,,US,38.3385,-76.4659,https://greenwavemd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00100,"Trilogy Wellness of Maryland, LLC",Trilogy Wellness,OTHER_REGULATED_POINT,9291 Baltimore National Pike Ellicott City Maryland 21042,,Howard,,US,39.2769,-76.8317,https://trilogy.health/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00101,"Dispensary Works, LLC",Dispensary Works,OTHER_REGULATED_POINT,"10766 Demarr Rd., Suite 3a Suite 3a White Plains Maryland 20695",,Charles,,US,38.5873,-76.9379,https://dispensaryworks.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00102,"AGG Wellness, LLC",Zen Leaf - Towson,OTHER_REGULATED_POINT,1608 E Joppa Rd Towson Maryland 21286,,Baltimore,,US,39.3971,-76.5668,https://zenleafdispensaries.com/locations/towson/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00103,"Chesacanna Acquisitions, Inc",Chesacanna,OTHER_REGULATED_POINT,10534 York Road Cockeysville Maryland 21030,,Baltimore,,US,39.4767,-76.6424,https://chesacanna.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00104,"Farmalogics Health and Wellness, LLC",Ascend Dispensary - Ellicott City,OTHER_REGULATED_POINT,10169 Baltimore National Pike Ellicott City Maryland 21042,,Howard,,US,39.2792,-76.8627,https://letsascend.com/menu/maryland/ellicott-city-med,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00105,"Callie's Cannabis Shoppe, LLC",Remedy - Baltimore,OTHER_REGULATED_POINT,7165c Security Blvd. Windsor Mill Maryland 21244,,Baltimore,,US,39.3128,-76.7574,https://remedymaryland.com/locations/maryland/baltimore-dispensary/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00106,"Blu Pharms, LLC",Ascend Dispensary - Laurel,OTHER_REGULATED_POINT,14703 Baltimore Avenue Laurel Maryland 20707,,Prince George's,,US,39.0917,-76.8561,https://letsascend.com/locations/maryland/laurel/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00107,"Durjaya, LLC",Ascend Dispensary - Crofton,OTHER_REGULATED_POINT,1657 Crofton Blvd Crofton Maryland 21114,,Anne Arundel,,US,39.0157,-76.6982,https://letsascend.com/menu/maryland/crofton-rec,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00108,"Alternative Medicine Maryland, LLC",Green Point Dispensary - Laurel,OTHER_REGULATED_POINT,116 Washington Blvd S Laurel Maryland 20707,,Prince George's,,US,39.1034,-76.844,https://www.gpwellness.com/laurel-menu,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00109,"Alternative Medicine Maryland, LLC",Green Point Dispensary - Millersville,OTHER_REGULATED_POINT,8100 Veteran'S Highway Millersville Maryland 21108,,Anne Arundel,,US,39.1195,-76.6357,https://www.gpwellness.com/millersville-menu,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00113,"MCP OPCO, LLC",District Cannabis,OTHER_REGULATED_POINT,17276 Valley Mall Rd. Hagerstown Maryland 21740,,Washington,,US,39.6273,-77.7734,https://districtcannabis.us/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00114,"Standard Wellness Maryland, LLC",The Forest - Canton,OTHER_REGULATED_POINT,3301 Boston Street Baltimore Maryland 21224,,Baltimore City,,US,39.2762,-76.5688,https://theforestdispensary.com/baltimore-md,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-24-00027,"Kind Therapeutics USA, LLC",Thrive Dispensary - Upper Marlboro,OTHER_REGULATED_POINT,9520 Marlboro Pike Units 103 And 104 Upper Marlboro Maryland 20772,,Prince George's,,US,38.8178,-76.8418,https://thrivedispensaries.com,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-24-00028,"Deja Vu MD, LLC",Nirvana - Downtown Baltimore,OTHER_REGULATED_POINT,805 N. Howard St. Baltimore Maryland 21201,,Baltimore City,,US,39.2986,-76.6198,https://nirvanacannabis.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00001,"Arock Holdings, LLC",Kent Reserve,OTHER_REGULATED_POINT,400 Cypress St. Millington Maryland 21651,,Kent,,US,39.2586,-75.8369,https://kentreserve.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00002,"Viola Maryland, Inc.","Viola, a collaboration with Far & Dotter",OTHER_REGULATED_POINT,1852 Reisterstown Rd Suite 100 Pikesville Maryland 21208,,Baltimore,,US,39.3901,-76.7414,https://fardotter.com/dispensaries/pikesville/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00004,Caroline Pharma Limited Liability Company,Caroline Pharma,OTHER_REGULATED_POINT,321 Bloomingdale Avenue Federalsburg Maryland 21632,,Caroline,,US,38.6972,-75.7859,https://carolinepharma.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00005,"Addy EOH, LLC",FLWR,OTHER_REGULATED_POINT,101 E. Chesapeake Ave. Towson Maryland 21286,,Baltimore,,US,39.3994,-76.601,https://flwrdispensary.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00006,"Elevated Mind & Wellness, LLC",Elevated Dispo,OTHER_REGULATED_POINT,733 S. Salisbury Blvd. Salisbury Maryland 21801,,Wicomico,,US,38.3564,-75.5997,https://www.elevateddispo.net/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00007,MDSA CORP,KOAN Cannabis,OTHER_REGULATED_POINT,10306 Ezra Drive Hagerstown Maryland 21740,,Washington,,US,39.5984,-77.7288,https://koandispensary.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00008,"ELEVATED BOTANICS, LLC",ELEVATED RELEAF,OTHER_REGULATED_POINT,25 Liberty Rd. Sykesville Maryland 21784,,Carroll,,US,39.4225,-76.9963,https://elevatedreleaf.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00009,"The Edge, LLC","The Edge, a Collaboration with Green Point",OTHER_REGULATED_POINT,85 Stewart Drive Edgewater Maryland 21037,,Anne Arundel,,US,38.935,-76.5678,https://http://theedgedispensary.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-25-00010,"Canna Stand, LLC",Stoked Dispensary,OTHER_REGULATED_POINT,1231 National Highway Lavale Maryland 21502,,Allegany,,US,38.935,-76.5678,https://stokedmd.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-26-00001,"Jenny's of Maryland I, Inc.","Jenny's Dispensary, in collaboration with Nirvana Cannabis",OTHER_REGULATED_POINT,9354 Lanham Severn Rd. Seabrook Maryland 20706,,Prince George's,,US,38.9709,-76.8497,https://www.jennysmaryland.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
