"LicenceNumber","ApplicationStatusEn","LicenceStatus","LicenceTypeEn","Latitude","Longitude","PremisesName","StreetAddress","City","Province","PostalCode","AddressID"
"CRSA1172512","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1066385121181","-79.0698410255352","Wonder Buds Cannabis","4635-A  QUEEN ST","NIAGARA FALLS","ON","L2E2L7","64503665"
"CRSA1172518","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6763862642343","-79.449427670771","Insalata","1331 ST CLAIR AVE W","TORONTO","ON","M6E1C2","264101"
"CRSA1172528","Authorized to Open","Active","Cannabis Retail Store Authorization","43.4188300107693","-80.3245200125149","Sessions Cannabis Cambridge","101 HOLIDAY INN DR UNIT B1","CAMBRIDGE","ON","N3C1Z3","68789137"
"CRSA1172536","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7252182811473","-79.290741747475","Tokyo Smoke Eglinton Town Centre","8 LEBOVIC AVE UNIT B5","SCARBOROUGH ","ON","M1L 4V9 ","67930628"
"CRSA1172547","Authorized to Open","Active","Cannabis Retail Store Authorization","42.2834945856367","-83.0554808924061","THE WE STORE","1800 HURON CHURCH RD UNIT B","WINDSOR","ON","N9C2L5","64506755"
"CRSA1172550","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3710110909837","-80.954557671138","Little Leaf","804 ONTARIO ST UNIT 3-5","STRATFORD","ON","N5A3K1","65449206"
"CRSA1172551","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6556931945869","-79.411554218997","Spiritleaf Little Italy","542 COLLEGE ST","TORONTO","ON","M6G1A9","64507363"
"CRSA1172552","Authorized to Open","Active","Cannabis Retail Store Authorization","45.3242263","-75.828808","PURE LEAF CANNABIS","2027 ROBERTSON RD","NEPEAN","ON","K2H5Y7","30567192"
"CRSA1172560","Authorized to Open","Active","Cannabis Retail Store Authorization","45.4894881215879","-75.4779547443306","Unplug Cannabis Co.","1375 TRIM RD UNIT 3","ORLEANS","ON ","K4A3P7","68527287"
"CRSA1172565","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6504132234404","-79.4154477618731","VALUE BUDS","994 DUNDAS ST W","TORONTO","ON","M6J1W6","194182"
"CRSA1172566","Authorized to Open","Active","Cannabis Retail Store Authorization","45.0847347036179","-77.8622177830222","The Underground Ontario","1 FAIRWAY BLVD UNIT 6 RR 2","BANCROFT","ON","K0L1C0","66036353"
"CRSA1172567","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6641151212995","-79.3265562392521","K’S POT SHOP","1342 QUEEN ST E","TORONTO","ON","M4L1C5","44714961"
"CRSA1172574","Authorized to Open","Active","Cannabis Retail Store Authorization","44.3468220138785","-79.6638873319866","Star Buds Cannabis Co.","500 HURONIA RD UNIT 208","BARRIE","ON","L4N8X3","64509626"
"CRSA1172575","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3131648342665","-82.9372855295459","Urbnbud","7405 TECUMSEH ROAD EAST UNIT 200","WINDSOR","ON","N8T 1G2","68435252"
"CRSA1172584","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3069976997001","-82.8638911758202","REGULATORS CANNABIS","35 AMY CROFT DR UNIT 5","LAKESHORE","ON","N9K1C7","65898215"
"CRSA1172585","Authorized to Open","Active","Cannabis Retail Store Authorization","43.8959936780541","-78.872577687172","Sessions Cannabis Oshawa","1 WARREN AVE UNIT 104","OSHAWA","ON","L1J4E9","64510759"
"CRSA1172587","Authorized to Open","Active","Cannabis Retail Store Authorization","44.370536123781","-79.6685853684861","The Den Cannabis Store","190 MINETS POINT UNIT 4","BARRIE","ON","L4N 8J8","64510945"
"CRSA1172589","Authorized to Open","Active","Cannabis Retail Store Authorization","44.4181927168908","-79.6958970201109","Star Buds Cannabis Co.","181 LIVINGSTONE ST E UNIT 3","BARRIE","ON","L4M6Z4","44665729"
"CRSA1172593","Authorized to Open","Active","Cannabis Retail Store Authorization","43.9356199809982","-78.8706300402389","Spiritleaf","250 TAUNTON RD EAST UNIT 12","OSHAWA ","ON ","L1G 7T1","77777366"
"CRSA1172594","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1399294726758","-80.2465347404346","HIGHLIFE CANNABIS BRANTFORD","10 STANLEY ST","BRANTFORD","ON","N3S7N4","24105925"
"CRSA1172596","Authorized to Open","Active","Cannabis Retail Store Authorization","43.643303705811","-79.5337738461248","Em Jay's","5160 DUNDAS ST W","ETOBICOKE","ON","M9A1C2","44770378"
"CRSA1172597","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7449811579432","-79.2968078129435","Growers Retail","2002 LAWRENCE AVE E","SCARBOROUGH","ON","M1R2Z1","44301871"
"CRSA1172601","Authorized to Open","Active","Cannabis Retail Store Authorization","42.7622874","-81.1973555","Green Light Cannabis Shop","188 SUNSET DR SUITE 1","ST THOMAS","ON","N5R3B9","30809549"
"CRSA1172602","Authorized to Open","Active","Cannabis Retail Store Authorization","44.5640234021869","-80.9416464775232","Cannabis Grey Bruce","236 8TH ST E","OWEN SOUND","ON","N4K1L1","266060"
"CRSA1172603","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2189475297324","-79.8425204171952","Sessions Cannabis ","712 MOHAWK RD E UNIT 1","HAMILTON","ON","L8T2P8","67149787"
"CRSA1172604","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6433592772808","-79.3939904462465","VALUE BUDS","49 SPADINA AVE","TORONTO","ON","M5V2J1","3116442"
"CRSA1172605","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1554937082571","-79.2734428454246","Inspired Cannabis Co.","295 FOURTH AVE SUITE 2","ST CATHARINES","ON","L2S0E7","70701347"
"CRSA1172607","Authorized to Open","Active","Cannabis Retail Store Authorization","44.2903166529142","-78.3112172435994","NORTHERN LIGHTS CANNABIS","51 LANSDOWNE ST W","PETERBOROUGH","ON","K9J1X8","24249571"
"CRSA1172610","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6630230940908","-79.3674360484161","THE GREEN CLOSET","439 PARLIAMENT ST","TORONTO","ON","M5A3A1","44356671"
"CRSA1172613","Authorized to Open","Active","Cannabis Retail Store Authorization","42.0355484932193","-82.9176085241789","RC BUD SHOP","6 KING STREET","HARROW","ON","N0R1G0","64513841"
"CRSA1172614","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2212790158404","-79.8515942067633","Hamilton Cannabis Co.","525 MOHAWK RD E","HAMILTON","ON","L8V2J5","24251023"
"CRSA1172615","Authorized to Open","Active","Cannabis Retail Store Authorization","43.709588319176","-79.4440729997402","Eighth Cannabis","610 MARLEE AVE","NORTH YORK","ON","M6B3J5","64514167"
"CRSA1172617","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6488977057823","-79.3727925047032","Canna Cabana","79 FRONT ST E","TORONTO","ON","M5E1B8","24223617"
"CRSA1172618","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2175390283338","-79.9188560458772","HIGHLIFE CANNABIS UP AFFX","919 UPPER PARADISE RD UNIT 5","HAMILTON","ON","L9B2M9","67326547"
"CRSA1172622","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7361638342665","-79.347973922933","SPIRITLEAF 895 LAWRENCE AVENUE","895 LAWRENCE AVE E, UNIT NO. A01001A ","NORTH YORK","ON","M3C 3L2","64514960"
"CRSA1172623","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3340125401062","-81.9978744514111","Higher Limits Cannabis Company","52 CATHERINE ST UNIT 4","BLENHEIM","ON","N0P1A0","67219634"
"CRSA1172625","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3917325997176","-79.7874069072359","Canada Buds","1860 APPLEBY LINE UNIT 11B","BURLINGTON","ON ","L7L7H7","67221154"
"CRSA1172630","Authorized to Open","Active","Cannabis Retail Store Authorization","44.1148699978901","-79.5651800183417","STAR BUDS CANNABIS CO. ","22 BARRIE ST","BRADFORD","ON","L3Z1R6","68985643"
"CRSA1172631","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3708174583064","-80.9465594306077","SPIRITLEAF","1020 ONTARIO ST SUITE 2","STRATFORD","ON","N5A6Z3","64515798"
"CRSA1172635","Authorized to Open","Active","Cannabis Retail Store Authorization","43.4511432722605","-80.4928308048935","The Cannabist Shop - King","201 KING ST W","KITCHENER","ON","N2G1B1","41603647"
