Dispensary Name,Latitude,Longitude,Serves Medical Patients,BLS Region,City,Dispensary Name,Street Address
Ivy Hall - Logan Square,41.91732,-87.7061,No,Chicago-Naperville-Elgin,Chicago,Ivy Hall - Logan Square,3115 W Armitage Ave
Ivy Hall - Montgomery,41.72043,-88.37459,No,Chicago-Naperville-Elgin,Montgomery,Ivy Hall - Montgomery,1970 Caterpillar Dr
Ivy Hall - Peoria,40.77162,-89.65502,No,Peoria,Peoria,Ivy Hall - Peoria,3929 W. War Memorial Dr
Ivy Hall - Streamwood,42.02104,-88.20381,No,Chicago-Naperville-Elgin,Streamwood,Ivy Hall - Streamwood,630 S Sutton Rd
Ivy Hall Waukegan,42.34114,-87.89586,No,Chicago-Naperville-Elgin,Waukegan,Ivy Hall Waukegan,996 S Waukegan Rd.
Jane & Bud's - Elgin,42.02807,-88.33793,No,Chicago-Naperville-Elgin,Elgin,Jane & Bud's - Elgin,205 S Randall Rd
Karma Club,41.91067,-87.64929,No,Chicago-Naperville-Elgin,Chicago,Karma Club,1590 N Clybourn Ave
Key- Carbondale,37.72907,-89.20079,No,Carbondale-Marion,Carbondale,Key- Carbondale,1010 E Main St.
Kush21 - Jacksonville,39.72196,-90.24374,No,West Central Illinois Nonmetropolitan,Jacksonville,Kush21 - Jacksonville,1112 Veterans Dr
Lakeshore Cannabis Club,41.67083,-88.07348,No,Chicago-Naperville-Elgin,Romeoville,Lakeshore Cannabis Club,1335 Lakeside Dr Unit 4
Lux Leaf Dispensary,41.4998,-87.74937,No,Chicago-Naperville-Elgin,Matteson,Lux Leaf Dispensary,5539 Miller Circle Dr
Lyfe Dispensary,42.27074,-88.98431,No,Rockford,Rockford,Lyfe Dispensary,6774 Troy Dr
Maribis Of Chicago,41.809021,-87.710152,Yes,Chicago-Naperville-Elgin,Chicago,Maribis Of Chicago,4570 S Archer Ave
Maribis of Springfield,39.83602,-89.60368,Yes,Springfield,Springfield,Maribis of Springfield,2451 Denver Drive
